"","Taxon","Family","Order","Vol_Unit","Importer","Exporter","Year","Vol","Volume"
"1448","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2018,,0
"1449","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2019,,0
"1450","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","MY",2020,0.15625,0.15625
"1451","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2000,,0
"1452","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2001,,0
"1453","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2002,,0
"1454","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2003,,0
"1455","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2004,,0
"1456","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2005,,0
"1457","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2006,,0
"1458","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2007,,0
"1459","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2008,,0
"1460","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2009,,0
"1461","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2010,,0
"1462","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2011,,0
"1463","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2012,,0
"1464","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2013,,0
"1465","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2014,,0
"1466","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2015,,0
"1467","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2016,,0
"1468","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2017,,0
"1469","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2018,0.03125,0.03125
"1470","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2019,,0
"1471","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MY","SG",2020,,0
"1472","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2000,,0
"1473","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2001,,0
"1474","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2002,,0
"1475","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2003,,0
"1476","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2004,,0
"1477","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2005,,0
"1478","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2006,1.589921875,1.589921875
"1479","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2007,,0
"1480","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2008,,0
"1481","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2009,,0
"1482","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2010,,0
"1483","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2011,,0
"1484","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2012,,0
"1485","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2013,,0
"1486","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2014,,0
"1487","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2015,,0
"1488","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2016,,0
"1489","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2017,,0
"1490","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2018,,0
"1491","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2019,,0
"1492","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","AE",2020,,0
"1493","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2000,,0
"1494","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2001,,0
"1495","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2002,,0
"1496","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2003,,0
"1497","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2004,,0
"1498","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2005,,0
"1499","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2006,,0
"1500","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2007,,0
"1501","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2008,,0
"1502","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2009,,0
"1503","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2010,,0
"1504","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2011,13.75,13.75
"1505","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2012,,0
"1506","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2013,,0
"1507","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2014,,0
"1508","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2015,,0
"1509","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2016,,0
"1510","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2017,,0
"1511","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2018,,0
"1512","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2019,,0
"1513","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","BD",2020,,0
"1514","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2000,,0
"1515","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2001,,0
"1516","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2002,,0
"1517","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2003,24.14125,24.14125
"1518","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2004,28.903125,28.903125
"1519","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2005,,0
"1520","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2006,22.125,22.125
"1521","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2007,45.625,45.625
"1522","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2008,41.321875,41.321875
"1523","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2009,46.6,46.6
"1524","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2010,,0
"1525","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2011,190.103125,190.103125
"1526","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2012,,0
"1527","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2013,226.871875,226.871875
"1528","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2014,,0
"1529","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2015,,0
"1530","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2016,,0
"1531","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2017,,0
"1532","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2018,68.83125,68.83125
"1533","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2019,164.375,164.375
"1534","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","ID",2020,70.3875,70.3875
"1535","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2000,,0
"1536","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2001,,0
"1537","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2002,,0
"1538","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2003,,0
"1539","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2004,,0
"1540","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2005,,0
"1541","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2006,,0
"1542","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2007,,0
"1543","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2008,,0
"1544","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2009,,0
"1545","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2010,,0
"1546","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2011,,0
"1547","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2012,,0
"1548","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2013,,0
"1549","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2014,,0
"1550","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2015,,0
"1551","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2016,,0
"1552","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2017,,0
"1553","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2018,,0
"1554","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2019,0.4375,0.4375
"1555","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","IN",2020,,0
"1556","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2000,,0
"1557","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2001,,0
"1558","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2002,,0
"1559","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2003,,0
"1560","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2004,0.453125,0.453125
"1561","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2005,,0
"1562","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2006,3.345625,3.345625
"1563","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2007,2.5409375,2.5409375
"1564","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2008,71.043125,71.043125
"1565","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2009,25.3565,25.3565
"1566","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2010,,0
"1567","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2011,26.0509375,26.0509375
"1568","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2012,,0
"1569","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2013,4.05,4.05
"1570","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2014,,0
"1571","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2015,,0
"1572","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2016,,0
"1573","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2017,,0
"1574","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2018,,0
"1575","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2019,1.04578125,1.04578125
"1576","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","MY",2020,,0
"1577","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2000,,0
"1578","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2001,,0
"1579","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2002,,0
"1580","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2003,15.128125,15.128125
"1581","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2004,8.41375,8.41375
"1582","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2005,,0
"1583","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2006,3.79375,3.79375
"1584","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2007,,0
"1585","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2008,,0
"1586","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2009,,0
"1587","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2010,,0
"1588","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2011,0.34375,0.34375
"1589","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2012,,0
"1590","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2013,,0
"1591","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2014,,0
"1592","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2015,,0
"1593","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2016,,0
"1594","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2017,,0
"1595","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2018,,0
"1596","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2019,,0
"1597","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","SG",2020,0.009375,0.009375
"1598","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2000,,0
"1599","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2001,,0
"1600","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2002,,0
"1601","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2003,,0
"1602","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2004,,0
"1603","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2005,,0
"1604","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2006,,0
"1605","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2007,,0
"1606","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2008,,0
"1607","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2009,0.825,0.825
"1608","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2010,,0
"1609","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2011,1.896875,1.896875
"1610","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2012,,0
"1611","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2013,1.3946875,1.3946875
"1612","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2014,,0
"1613","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2015,,0
"1614","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2016,,0
"1615","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2017,,0
"1616","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2018,,0
"1617","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2019,,0
"1618","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SA","TH",2020,,0
"1619","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2000,,0
"1620","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2001,,0
"1621","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2002,,0
"1622","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2003,,0
"1623","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2004,,0
"1624","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2005,,0
"1625","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2006,,0
"1626","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","SG","BN",2007,,0
