"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"112","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2003,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"113","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2012,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"114","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2013,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"115","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2017,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"116","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2019,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"117","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2014,2163429,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"118","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2015,2160033,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"119","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2016,107059,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"120","Amaryllidaceae","Galanthus woronowii","Liliales","DK","TR",2002,75000,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"121","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2005,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"122","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2006,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"123","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2007,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"124","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2008,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"125","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2009,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
